Cuadro 1. Accesos a internet fijos por categoria. Total del país. Enero 2015-Junio 2023;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Período;;Total;Variación interanual;Residencial;Variación interanual;Organizaciones;Variación interanual;;;;;;;;
;;;%;;%;;%;;;;;;;;
2015;1º trimestre;6.611.407;///;6.091.530;///;519.877;///;;;;;;;;
;Enero;6.603.015;///;6.085.189;///;517.826;///;;;;;;;;
;Febrero;6.604.069;///;6.085.150;///;518.919;///;;;;;;;;
;Marzo;6.627.135;///;6.104.250;///;522.885;///;;;;;;;;
;2 º trimestre;6.688.872;///;6.156.140;///;532.732;///;;;;;;;;
;Abril;6.648.922;///;6.119.455;///;529.467;///;;;;;;;;
;Mayo;6.681.314;///;6.148.681;///;532.633;///;;;;;;;;
;Junio;6.736.378;///;6.200.283;///;536.095;///;;;;;;;;
;3º trimestre;6.806.015;///;6.262.882;///;543.133;///;;;;;;;;
;Julio;6.775.844;///;6.235.734;///;540.110;///;;;;;;;;
;Agosto;6.802.722;///;6.259.664;///;543.058;///;;;;;;;;
;Septiembre;6.839.478;///;6.293.247;///;546.231;///;;;;;;;;
;4º trimestre;6.888.591;///;6.337.884;///;550.707;///;;;;;;;;
;Octubre;6.872.695;///;6.323.749;///;548.946;///;;;;;;;;
;Noviembre;6.886.764;///;6.335.573;///;551.191;///;;;;;;;;
;Diciembre;6.906.315;///;6.354.330;///;551.985;///;;;;;;;;
2016;1º trimestre;6.966.129;5,4;6.397.978;5,0;568.151;9,3;;;;;;;;
;Enero;6.956.100;5,3;6.387.157;5,0;568.943;9,9;;;;;;;;
;Febrero;6.962.612;5,4;6.394.688;5,1;567.924;9,4;;;;;;;;
;Marzo;6.979.674;5,3;6.412.089;5,0;567.585;8,5;;;;;;;;
;2 º trimestre;7.048.565;5,4;6.458.112;4,9;590.453;10,8;;;;;;;;
;Abril;7.019.528;5,6;6.430.537;5,1;588.991;11,2;;;;;;;;
;Mayo;7.050.163;5,5;6.459.166;5,0;590.997;11,0;;;;;;;;
;Junio;7.076.005;5,0;6.484.633;4,6;591.372;10,3;;;;;;;;
;3º trimestre;7.117.612;4,6;6.525.416;4,2;592.196;9,0;;;;;;;;
;Julio;7.088.995;4,6;6.496.766;4,2;592.229;9,6;;;;;;;;
;Agosto;7.116.326;4,6;6.524.363;4,2;591.963;9,0;;;;;;;;
;Septiembre;7.147.517;4,5;6.555.120;4,2;592.397;8,5;;;;;;;;
;4º trimestre;7.150.187;3,8;6.556.731;3,5;593.456;7,8;;;;;;;;
;Octubre;7.162.737;4,2;6.564.861;3,8;597.876;8,9;;;;;;;;
;Noviembre;7.152.940;3,9;6.560.017;3,5;592.923;7,6;;;;;;;;
;Diciembre;7.134.882;3,3;6.545.314;3,0;589.568;6,8;;;;;;;;
2017;1º trimestre;7.134.869;2,4;6.545.650;2,3;589.219;3,7;;;;;;;;
;Enero;7.128.784;2,5;6.548.113;2,5;580.671;2,1;;;;;;;;
;Febrero;7.134.995;2,5;6.540.929;2,3;594.066;4,6;;;;;;;;
;Marzo;7.140.829;2,3;6.547.909;2,1;592.920;4,5;;;;;;;;
;2 º trimestre;7.175.809;1,8;6.586.309;2,0;589.500;-0,2;;;;;;;;
;Abril;7.169.558;2,1;6.575.697;2,3;593.861;0,8;;;;;;;;
;Mayo;7.171.412;1,7;6.584.667;1,9;586.745;-0,7;;;;;;;;
;Junio;7.186.456;1,6;6.598.563;1,8;587.893;-0,6;;;;;;;;
;3º trimestre;7.216.990;1,4;6.645.406;1,8;571.584;-3,5;;;;;;;;
;Julio;7.184.129;1,3;6.601.238;1,6;582.891;-1,6;;;;;;;;
;Agosto;7.201.826;1,2;6.635.179;1,7;566.647;-4,3;;;;;;;;
;Septiembre;7.265.017;1,6;6.699.802;2,2;565.215;-4,6;;;;;;;;
;4º trimestre;7.325.597;2,5;6.760.896;3,1;564.701;-4,8;;;;;;;;
;Octubre;7.298.250;1,9;6.732.797;2,6;565.453;-5,4;;;;;;;;
;Noviembre;7.324.569;2,4;6.760.207;3,1;564.362;-4,8;;;;;;;;
;Diciembre;7.353.970;3,1;6.789.683;3,7;564.287;-4,3;;;;;;;;
2018;1º trimestre;7.367.070;3,3;6.804.515;4,0;562.555;-4,5;;;;;;;;
;Enero;7.354.525;3,2;6.790.450;3,7;564.075;-2,9;;;;;;;;
;Febrero;7.370.362;3,3;6.808.460;4,1;561.902;-5,4;;;;;;;;
;Marzo;7.376.322;3,3;6.814.635;4,1;561.687;-5,3;;;;;;;;
;2 º trimestre;7.414.377;3,3;6.854.878;4,1;559.499;-5,1;;;;;;;;
;Abril;7.396.762;3,2;6.835.476;4,0;561.286;-5,5;;;;;;;;
;Mayo;7.410.696;3,3;6.852.154;4,1;558.542;-4,8;;;;;;;;
;Junio;7.435.673;3,5;6.877.004;4,2;558.669;-5,0;;;;;;;;
;3º trimestre;7.452.167;3,3;6.898.415;3,8;553.752;-3,1;;;;;;;;
;Julio;7.450.022;3,7;6.894.157;4,4;555.865;-4,6;;;;;;;;
;Agosto;7.443.730;3,4;6.892.124;3,9;551.606;-2,7;;;;;;;;
;Septiembre;7.462.750;2,7;6.908.965;3,1;553.785;-2,0;;;;;;;;
;4º trimestre;7.466.813;1,9;6.921.506;2,4;545.307;-3,4;;;;;;;;
;Octubre;7.467.203;2,3;6.917.031;2,7;550.172;-2,7;;;;;;;;
;Noviembre;7.454.909;1,8;6.908.537;2,2;546.372;-3,2;;;;;;;;
;Diciembre;7.478.327;1,7;6.938.950;2,2;539.377;-4,4;;;;;;;;
2019;1º trimestre;7.456.627;1,2;6.916.873;1,7;539.754;-4,1;;;;;;;;
;Enero;7.459.631;1,4;6.917.757;1,9;541.874;-3,9;;;;;;;;
;Febrero;7.445.014;1,0;6.906.376;1,4;538.638;-4,1;;;;;;;;
;Marzo;7.465.236;1,2;6.926.485;1,6;538.751;-4,1;;;;;;;;
;2 º trimestre;7.486.520;1,0;6.950.118;1,4;536.402;-4,1;;;;;;;;
;Abril;7.470.254;1,0;6.933.312;1,4;536.942;-4,3;;;;;;;;
;Mayo;7.490.212;1,1;6.953.208;1,5;537.004;-3,9;;;;;;;;
;Junio;7.499.094;0,9;6.963.834;1,3;535.260;-4,2;;;;;;;;
;3 º trimestre;7.512.968;0,8;6.981.738;1,2;531.230;-4,1;;;;;;;;
;Julio;7.482.138;0,4;6.949.273;0,8;532.865;-4,1;;;;;;;;
;Agosto;7.517.171;1,0;6.989.628;1,4;527.543;-4,4;;;;;;;;
;Septiembre;7.539.596;1,0;7.006.314;1,4;533.282;-3,7;;;;;;;;
;4º trimestre;7.526.700;0,8;7.007.287;1,2;519.413;-4,7;;;;;;;;
;Octubre;7.540.850;1,0;7.011.285;1,4;529.565;-3,7;;;;;;;;
;Noviembre;7.527.881;1,0;7.009.989;1,5;517.892;-5,2;;;;;;;;
;Diciembre;7.511.371;0,4;7.000.588;0,9;510.783;-5,3;;;;;;;;
