Cuadro 1. Total del país. Viviendas particulares, viviendas colectivas, población en viviendas particulares, población en viviendas colectivas y población en situación de calle (vía pública), por jurisdicción. Año 2022;;;;;;
;;;;;;
Jurisdicción;Total de viviendas particulares;Total de viviendas colectivas;Total de población;Población en viviendas particulares;Población en viviendas colectivas (1);Población en situación de calle (vía pública)
Total;17.780.210;25.501;46.044.703;45.767.858;273.883;2.962
Ciudad Autónoma de Buenos Aires;1.638.764;1.946;3.120.612;3.092.942;26.767;903
Buenos Aires;6.695.273;6.535;17.569.053;17.450.899;117.193;961
24 Partidos del Gran Buenos Aires;3.714.607;1.383;10.865.182;10.817.508;46.877;797
"Resto de partidos de la Provincia
de Buenos Aires";2.980.666;5.152;6.703.871;6.633.391;70.316;164
Catamarca;158.989;449;429.556;427.415;2.139;2
Chaco;401.658;443;1.142.963;1.137.027;5.877;59
Chubut;236.010;1.123;603.120;599.568;3.508;44
Córdoba;1.630.356;3.548;3.978.984;3.946.235;32.658;91
Corrientes;406.480;555;1.197.553;1.195.538;1.977;38
Entre Ríos;559.398;1.159;1.426.426;1.416.324;9.963;139
Formosa;212.941;232;606.041;604.278;1.763;///
Jujuy;276.222;326;797.955;797.009;864;82
La Pampa;163.805;437;366.022;364.556;1.462;4
La Rioja;149.910;272;384.607;383.128;1.479;///
Mendoza;708.354;1.744;2.014.533;2.001.281;13.231;21
Misiones;466.850;652;1.280.960;1.275.142;5.792;26
Neuquén;273.685;392;726.590;723.663;2.920;7
Río Negro;295.502;910;762.067;758.001;4.066;///
Salta;478.433;766;1.440.672;1.431.838;8.590;244
San Juan;265.047;387;818.234;814.856;3.357;21
San Luis;201.271;339;540.905;539.868;1.033;4
Santa Cruz;131.395;486;333.473;331.707;1.766;///
Santa Fe;1.458.652;1.928;3.556.522;3.535.792;20.521;209
Santiago del Estero;348.705;353;1.054.028;1.050.218;3.760;50
"Tierra del Fuego, Antártida e Islas
del Atlántico Sur (2)";67.091;137;190.641;189.785;856;///
Tucumán;555.419;382;1.703.186;1.700.788;2.341;57
;;;;;;
(1) Incluye la población en situación de calle censada en refugios o paradores.;;;;;;
(2) Las Islas Malvinas, Georgias del Sur, Sándwich del Sur y los espacios marítimos circundantes forman parte integrante del territorio nacional argentino. Debido a que dichos territorios se encuentran sometidos a la ocupación ilegal del Reino Unido de Gran Bretaña e Irlanda del Norte, la República Argentina se vio impedida de llevar a cabo el Censo 2022 en esa área. Estas islas pertenecen al departamento Islas del Atlántico Sur. Del departamento Antártida Argentina fueron censadas las bases antárticas permanentes que pertenecen a la República Argentina. ;;;;;;
Fuente: INDEC, Censo Nacional de Población, Hogares y Viviendas 2022. Resultados provisionales.;;;;;;
