AÃ±o,Trimestre,Provincia,Mbps (Media de bajada)
2022,4,Buenos Aires,1110
2022,4,Capital Federal,18286
2022,4,Catamarca,8333
2022,4,Chaco,10402
2022,4,Chubut,1592
2022,4,CÃ³rdoba,10877
2022,4,Corrientes,9472
2022,4,Entre RÃ­os,8747
2022,4,Formosa,7203
2022,4,Jujuy,3932
2022,4,La Pampa,1910
2022,4,La Rioja,610
2022,4,Mendoza,3876
2022,4,Misiones,9124
2022,4,NeuquÃ©n,9537
2022,4,RÃ­o Negro,7531
2022,4,Salta,7593
2022,4,San Juan,1639
2022,4,San Luis,3067
2022,4,Santa Cruz,1433
2022,4,Santa Fe,9030
2022,4,Santiago Del Estero,3440
2022,4,Tierra Del Fuego,1348
2022,4,TucumÃ¡n,8833
2022,3,Buenos Aires,7019
2022,3,Capital Federal,10105
2022,3,Catamarca,6099
2022,3,Chaco,5321
2022,3,Chubut,1557
2022,3,CÃ³rdoba,5632
2022,3,Corrientes,4507
2022,3,Entre RÃ­os,4249
2022,3,Formosa,3035
2022,3,Jujuy,3243
2022,3,La Pampa,181
2022,3,La Rioja,443
2022,3,Mendoza,3416
2022,3,Misiones,493
2022,3,NeuquÃ©n,4781
2022,3,RÃ­o Negro,3413
2022,3,Salta,4133
2022,3,San Juan,1584
2022,3,San Luis,1933
2022,3,Santa Cruz,126
2022,3,Santa Fe,4515
2022,3,Santiago Del Estero,1769
2022,3,Tierra Del Fuego,1101
2022,3,TucumÃ¡n,5336
2022,2,Buenos Aires,6550
2022,2,Capital Federal,9397
2022,2,Catamarca,5656
2022,2,Chaco,5061
2022,2,Chubut,1491
2022,2,CÃ³rdoba,5351
2022,2,Corrientes,4331
2022,2,Entre RÃ­os,4003
2022,2,Formosa,2847
2022,2,Jujuy,2939
2022,2,La Pampa,1607
2022,2,La Rioja,4328
2022,2,Mendoza,2972
2022,2,Misiones,4623
2022,2,NeuquÃ©n,4653
2022,2,RÃ­o Negro,3326
2022,2,Salta,3877
2022,2,San Juan,1444
2022,2,San Luis,1932
2022,2,Santa Cruz,1181
2022,2,Santa Fe,4201
2022,2,Santiago Del Estero,1634
2022,2,Tierra Del Fuego,1097
2022,2,TucumÃ¡n,5009
2022,1,Buenos Aires,6251
2022,1,Capital Federal,8822
2022,1,Catamarca,5122
2022,1,Chaco,4584
2022,1,Chubut,134
2022,1,CÃ³rdoba,4989
2022,1,Corrientes,3811
2022,1,Entre RÃ­os,3559
2022,1,Formosa,3028
2022,1,Jujuy,2769
2022,1,La Pampa,1484
2022,1,La Rioja,4137
2022,1,Mendoza,262
2022,1,Misiones,4187
2022,1,NeuquÃ©n,4305
2022,1,RÃ­o Negro,3109
2022,1,Salta,3671
2022,1,San Juan,1199
2022,1,San Luis,2095
2022,1,Santa Cruz,1089
2022,1,Santa Fe,3889
2022,1,Santiago Del Estero,145
2022,1,Tierra Del Fuego,1073
2022,1,TucumÃ¡n,4724
2021,4,Buenos Aires,6021
2021,4,Capital Federal,8295
2021,4,Catamarca,4638
2021,4,Chaco,4234
2021,4,Chubut,9080
