AÃ±o,Trimestre,Accesos TV por suscripciÃ³n por cada 100 hab,Accesos TV satelital por cada 100 hab,Accesos TV por suscripciÃ³n por cada 100 hogares,Accesos TV satelital por cada 100 hogares
2022.0,4.0,"16,55","3,96","52,90","12,66"
2022.0,3.0,"16,56","4,46","52,97","14,27"
2022.0,2.0,"16,55","4,47","53,01","14,31"
2022.0,1.0,"16,41","4,45","52,61","14,25"
2021.0,4.0,"16,52","4,37","52,99","14,02"
2021.0,3.0,"16,73","4,68","53,72","15,03"
2021.0,2.0,"16,02","5,08","51,48","16,33"
2021.0,1.0,"16,09","4,95","51,74","15,93"
2020.0,4.0,"16,10","5,09","51,80","16,39"
2020.0,3.0,"16,13","5,40","51,95","17,38"
2020.0,2.0,"15,93","5,41","51,36","17,45"
2020.0,1.0,"15,97","5,43","51,51","17,52"
2019.0,4.0,"16,17","5,45","52,21","17,60"
2019.0,3.0,"15,90","5,47","51,37","17,67"
2019.0,2.0,"15,70","5,48","50,76","17,72"
2019.0,1.0,"15,58","5,52","50,42","17,87"
2018.0,4.0,"15,47","5,54","50,10","17,94"
2018.0,3.0,"15,80","5,69","51,21","18,44"
2018.0,2.0,"15,59","5,63","50,56","18,26"
2018.0,1.0,"15,63","5,56","50,73","18,05"
2017.0,4.0,"15,43","5,79","50,12","18,81"
2017.0,3.0,"15,36","5,89","49,84","19,10"
2017.0,2.0,"15,38","5,85","50,00","19,04"
2017.0,1.0,"14,99","5,75","49,01","18,77"
2016.0,4.0,"15,03","6,11","50,45","20,49"
2016.0,3.0,"15,00","6,03","50,34","20,24"
2016.0,2.0,"14,99","6,06","50,30","20,34"
2016.0,1.0,"14,92","5,83","50,08","19,55"
2015.0,4.0,"15,08","5,88","50,61","19,74"
2015.0,3.0,"15,05","5,99","50,48","20,11"
2015.0,2.0,"14,98","5,99","50,25","20,09"
2015.0,1.0,"14,86","5,79","49,86","19,41"
2014.0,4.0,"15,18","5,78","50,92","19,18"
2014.0,3.0,"15,12","5,74","50,70","19,06"
2014.0,2.0,"15,09","5,97","50,61","19,81"
2014.0,1.0,"12,74","5,57","42,72","18,48"
,,"16,56","4,46","52,97","14,27"
